,RelatedTo,IsA,PartOf,UsedFor,AtLocation,total
object,33,6,5,1,1,46
artifact,30,6,3,5,2,46
physical_entity,31,0,0,0,0,31
whole,25,0,0,0,0,25
substance,12,6,3,1,1,23
beef,23,0,0,0,0,23
stone,20,0,0,0,1,21
cow,21,0,0,0,0,21
sheep,20,0,0,0,1,21
pig,20,0,0,0,0,20
shovel,20,0,0,0,0,20
instrumentality,19,0,0,0,0,19
matter,18,0,0,0,0,18
bucket,17,0,0,0,1,18
dirt,18,0,0,0,0,18
shears,18,0,0,0,0,18
log,17,0,0,0,0,17
clay,17,0,0,0,0,17
wool,16,0,0,0,1,17
person,13,1,2,1,0,17
tool,15,1,0,1,0,17
axe,16,0,0,0,0,16
sword,15,0,0,0,1,16
pickaxe,15,0,0,0,0,15
water,13,0,0,0,2,15
event,8,3,2,1,0,14
entity,13,0,0,0,0,13
hoe,13,0,0,0,0,13
material,13,0,0,0,0,13
cobblestone,11,0,0,0,0,11
porkchop,11,0,0,0,0,11
device,10,0,0,0,0,10
instrument,9,0,0,1,0,10
abstraction,9,0,0,0,0,9
meat,9,0,0,0,0,9
solid,8,0,0,0,0,8
even-toed_ungulate,7,0,0,0,0,7
bovid,7,0,0,0,0,7
edge_tool,7,0,0,0,0,7
container,5,0,0,0,2,7
cattle,5,0,0,0,0,5
body_waste,5,0,0,0,0,5
natural_object,5,0,0,0,0,5
speech_act,5,0,0,0,0,5
farmland,5,0,0,0,0,5
containerful,5,0,0,0,0,5
soil,5,0,0,0,0,5
unpleasant_person,5,0,0,0,0,5
water_bucket,1,0,0,0,0,1
