2020-03-23 18:27:13.579302: Try #3000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:28:01.059207: Try #4000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:28:48.812646: Try #5000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:29:37.035989: Try #6000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:30:33.277087: Try #7000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:31:23.531761: Try #8000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:32:13.365725: Try #9000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:33:00.390475: Try #10000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:33:47.223243: Try #11000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:34:46.385685: Try #12000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:35:43.085527: Try #13000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:36:32.576450: Try #14000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:37:20.694102: Try #15000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:38:09.933774: Try #16000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:39:01.109542: Try #17000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:39:52.900030: Try #18000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:40:48.855635: Try #19000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:41:40.177777: Try #20000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:42:26.884084: Try #21000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:43:18.836447: Try #22000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:44:09.036501: Try #23000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:45:02.774758: Try #24000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:46:07.514753: Try #25000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:47:03.001500: Try #26000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:48:00.787889: Try #27000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:48:49.527182: Try #28000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:49:36.931850: Try #29000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:50:34.904026: Try #30000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:51:27.690344: Try #31000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:52:16.788419: Try #32000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:53:08.306702: Try #33000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:53:59.405381: Try #34000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:54:53.134481: Try #35000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:55:48.783353: Try #36000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:56:42.930448: Try #37000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:57:35.485951: Try #38000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:58:30.002671: Try #39000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 18:59:24.308641: Try #40000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:00:22.170504: Try #41000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:01:19.652879: Try #42000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:02:11.774299: Try #43000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:03:02.192002: Try #44000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:03:53.390256: Try #45000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:04:47.655071: Try #46000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:05:46.625973: Try #47000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:06:37.548918: Try #48000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:07:29.444503: Try #49000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:08:24.266286: Try #50000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:09:17.521998: Try #51000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:10:16.734069: Try #52000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:11:08.291483: Try #53000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:12:02.354593: Try #54000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:12:54.791568: Try #55000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:13:45.395041: Try #56000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:14:35.256323: Try #57000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:15:34.845133: Try #58000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:16:23.807454: Try #59000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:17:19.899583: Try #60000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:18:09.798770: Try #61000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:19:02.619472: Try #62000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:19:58.532776: Try #63000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:20:56.232327: Try #64000 for relation: RelatedTo, word 1: writer, word 2: abstraction
2020-03-23 19:22:28.612201: Try #1000 for relation: RelatedTo, word 1: workbench, word 2: g
2020-03-23 19:23:31.784749: Try #1000 for relation: RelatedTo, word 1: c, word 2: w
